Gender,Preference
Female,Business
Female,Programming
Male,Business
Female,Statistics
Female,Programming
Male,Statistics
Female,Statistics
Male,Statistics
Female,Statistics
Female,Programming
Male,Statistics
Female,Programming
Male,Statistics
Female,Statistics
Female,Statistics
Female,Statistics
Female,Statistics
Male,Statistics
Female,Business
Female,Statistics
Male,Business
Female,Statistics
Female,Business
Female,Statistics
Female,Business
Female,Business
Female,Business
Male,Statistics
Male,Business
Male,Programming
Female,Statistics
Male,Statistics
Female,Business
Female,Programming
Male,Business
Female,Statistics
Female,Business
Male,Statistics
Male,Business
Female,Programming
Male,Business
Female,Business
Male,Statistics
Female,Business
Female,Statistics
Female,Statistics
Male,Business
Male,Statistics
Male,Business
Male,Programming
Male,Business
Female,Statistics
Male,Business
Female,Programming
Male,Statistics
Male,Business
Female,Statistics
Female,Statistics
Female,Statistics
Male,Statistics
Female,Statistics
Female,Statistics
Female,Statistics
Male,Programming
Female,Statistics
Male,Programming
Male,Business
Male,Programming
Female,Business
Female,Business
Male,Statistics
Male,Statistics
Female,Statistics
Male,Business
Male,Statistics
Female,Statistics
Male,Business
Female,Business
Male,Business
Female,Statistics
Male,Business
Female,Statistics
Female,Statistics
Female,Statistics
Female,Statistics
Female,Statistics
Female,Statistics
Female,Business
Male,Programming
Female,Programming
Male,Statistics
Male,Programming
Female,Statistics
Female,Business
Male,Statistics
Female,Business
Female,Business
Male,Statistics
Male,Statistics
Female,Statistics
Female,Statistics
Female,Statistics
Male,Business
Male,Business
Female,Statistics
Male,Statistics
Male,Business
Female,Statistics
Female,Business
Male,Business
Female,Business
Male,Business
Female,Statistics
Male,Programming
Male,Business
Female,Statistics
Male,Programming
Male,Programming
Male,Business
Female,Statistics
Female,Statistics
Male,Statistics
Male,Business
Male,Business
Male,Programming
Female,Business
Female,Business
Female,Business
Female,Programming
Male,Statistics
Male,Programming
Female,Programming
Female,Statistics
Female,Programming
Female,Business
Female,Business
Male,Business
Male,Business
Female,Business
Female,Business
Female,Programming
Female,Statistics
Female,Programming
Male,Statistics
Female,Statistics
Female,Statistics
Male,Business
Female,Business
Male,Programming
Male,Statistics
Male,Business
Female,Statistics
Male,Business
Female,Programming
Male,Statistics
Female,Statistics
Female,Programming
Female,Statistics
Female,Statistics
Female,Statistics
Male,Statistics
Female,Business
Female,Business
Female,Business
Male,Programming
Male,Business
Female,Business
Male,Business
Female,Business
Female,Programming
Female,Programming
Female,Business
Female,Statistics
Female,Business
Female,Statistics
Female,Statistics
Female,Business
Female,Business
Male,Statistics
Female,Programming
Female,Business
Female,Business
Female,Statistics
Male,Business
Female,Business
Female,Business
Male,Programming
Female,Business
Male,Statistics
Female,Programming
Female,Statistics
Male,Statistics
Male,Business
Male,Statistics
Female,Programming
Female,Statistics
Male,Statistics
Female,Business
Male,Statistics
Male,Business
Male,Business
Female,Statistics
Female,Business
Male,Business
Female,Statistics
Female,Business
Female,Business
Male,Statistics
Male,Programming
Female,Statistics
Female,Business
Female,Business
Female,Statistics
Female,Business
Female,Business
Female,Programming
Male,Statistics
Female,Statistics
Female,Business
Male,Business
Male,Statistics
Female,Statistics
Female,Business
Female,Statistics
Female,Statistics
Female,Business
Male,Statistics
Female,Business
Female,Business
Female,Programming
Female,Statistics
Female,Statistics
Female,Statistics
Female,Statistics
Male,Statistics
Male,Business
Female,Business
Male,Business
Female,Programming
Female,Programming
Male,Business
Female,Statistics
Female,Business
Male,Statistics
Female,Business
Female,Statistics
Male,Programming
Female,Business
Female,Statistics
Female,Programming
Male,Business
Female,Statistics
Female,Business
Male,Business
Male,Statistics
Female,Statistics
Female,Statistics
Male,Business
Female,Statistics
Male,Statistics
Female,Statistics
Female,Statistics
Female,Business
Female,Statistics
Female,Statistics
Female,Statistics
Female,Statistics
Male,Statistics
Female,Statistics
Male,Statistics
Female,Statistics
Female,Business
Female,Programming
Female,Business
Female,Business
Female,Statistics
Female,Business
Male,Statistics
Female,Statistics
Female,Business
Male,Statistics
Female,Business
Female,Business
Female,Programming
Female,Business
Male,Statistics
Male,Statistics
Female,Statistics
Male,Business
Male,Statistics
Male,Business
Female,Statistics
Male,Statistics
Female,Business
Female,Programming
Female,Statistics
Female,Programming
Male,Statistics
Male,Business
Female,Statistics
Female,Business
Female,Business
Female,Statistics
Female,Business
Male,Business
Male,Statistics
Female,Business
Female,Statistics
Female,Programming
Male,Statistics
Male,Programming
Male,Statistics
Female,Statistics
Female,Business
Male,Business
Female,Statistics
Male,Business
Female,Statistics
Male,Statistics
Female,Business
Male,Business
Female,Programming
Female,Statistics
Male,Statistics
Female,Business
Female,Programming
Male,Statistics
Male,Statistics
Female,Statistics
Male,Business
Male,Business
Female,Programming
Female,Business
Female,Programming
Female,Statistics
Male,Statistics
Male,Business
Female,Business
Female,Statistics
Female,Statistics
Male,Business
Male,Statistics
Male,Statistics
Male,Programming
Female,Programming
Female,Business
Female,Business
Female,Business
Female,Business
Male,Statistics
Female,Statistics
Female,Statistics
Female,Business
Female,Statistics
Female,Business
Female,Business
Male,Statistics
Female,Statistics
Male,Statistics
Female,Statistics
Female,Business
Male,Business
Male,Statistics
Female,Statistics
Male,Business
Female,Business
Female,Statistics
Male,Statistics
Male,Statistics
Male,Business
Male,Programming
Female,Statistics
Male,Statistics
Female,Business
Female,Statistics
Female,Business
Male,Statistics
Female,Business
Male,Statistics
Male,Statistics
Female,Statistics
Male,Business
Female,Statistics
Male,Statistics
Female,Statistics
Female,Business
Female,Statistics
Male,Business
Female,Statistics
Female,Programming
Female,Business
Male,Statistics
Female,Business
Female,Statistics
Male,Business
Male,Business
Male,Statistics
Male,Business
Male,Business
Female,Statistics
Male,Business
Female,Statistics
Male,Business
Female,Business
Female,Business
Female,Business
Male,Business
Male,Statistics
Male,Business
Male,Business
Female,Programming
Female,Statistics
Female,Business
Male,Business
Female,Business
Female,Programming
Male,Business
Female,Business
Male,Business
Female,Statistics
Male,Business
Male,Statistics
Male,Business
Female,Programming
Female,Statistics
Female,Business
Female,Programming
Female,Business
Female,Statistics
Female,Business
Female,Statistics
Female,Programming
Female,Business
Female,Business
Female,Statistics
Female,Statistics
Male,Statistics
Female,Statistics
Male,Statistics
Female,Statistics
Male,Statistics
Female,Statistics
Female,Business
Female,Statistics
Female,Business
Female,Business
Male,Statistics
Male,Statistics
Male,Statistics
Female,Statistics
Male,Statistics
Male,Programming
Female,Statistics
Female,Statistics
Female,Statistics
Male,Programming
Female,Statistics
Male,Business
Male,Programming
Female,Business
Female,Business
Female,Statistics
Female,Business
Female,Programming
Male,Business
Male,Statistics
Female,Statistics
Female,Business
Male,Business
Female,Business
Female,Business
Female,Statistics
Female,Business
Female,Statistics
Male,Business
Female,Business
Male,Statistics
Female,Statistics
Female,Statistics
Female,Business
Male,Statistics
Female,Statistics
Male,Business
Female,Programming
Male,Business
Female,Business
Male,Statistics
Female,Business
Male,Statistics
Female,Business
Male,Statistics
Male,Business
Female,Statistics
Female,Business
Male,Business
Female,Business
Female,Business
Male,Business
Male,Programming
Female,Statistics
Female,Statistics
Male,Statistics
Female,Business
Male,Business
Male,Statistics
Female,Statistics
Female,Business
Female,Statistics
Female,Statistics
Male,Programming
Female,Statistics
Male,Business
Female,Statistics
Male,Business
Female,Statistics
Female,Business
Female,Business
Female,Statistics
Male,Business
Female,Statistics
Male,Business
Male,Business
Female,Statistics
Male,Business
Male,Business
Female,Business
Female,Statistics
Male,Programming
Female,Programming
Female,Statistics
Female,Business
Female,Statistics
Male,Business
Male,Business
Male,Statistics
Male,Business
Male,Statistics
Male,Programming
Female,Business
Female,Business
Male,Statistics
Female,Statistics
Female,Business
Male,Statistics
Female,Statistics
Female,Business
Male,Programming
Male,Statistics
Female,Statistics
Male,Business
Male,Statistics
Male,Statistics
Male,Business
Female,Business
Female,Business
Female,Business
Female,Programming
Male,Statistics
Male,Statistics
Male,Business
Male,Business
Male,Statistics
Female,Statistics
Female,Statistics
Female,Statistics
Female,Business
Female,Business
Female,Statistics
Male,Business
Female,Business
Male,Statistics
Male,Business
Female,Business
Male,Business
Female,Business
Male,Statistics
Female,Business
Female,Statistics
Female,Programming
Male,Business
Female,Business
Female,Statistics
Male,Programming
Male,Business
Female,Business
Male,Statistics
Male,Statistics
Male,Statistics
Female,Programming
Female,Statistics
Female,Business
Female,Statistics
Female,Business
Female,Statistics
Male,Statistics
Female,Statistics
Female,Statistics
Female,Statistics
Male,Business
Female,Statistics
Female,Business
Female,Programming
Female,Statistics
Male,Business
Male,Business
Male,Statistics
Male,Business
Male,Business
Female,Business
Male,Business
Female,Statistics
Male,Business
Male,Statistics
Female,Business
Male,Business
Male,Business
Male,Business
Female,Business
Male,Business
Female,Statistics
Female,Business
Male,Statistics
Female,Programming
Female,Business
Female,Business
Female,Statistics
Female,Business
Male,Programming
Male,Business
Female,Business
Female,Statistics
Male,Statistics
Female,Statistics
Male,Statistics
Male,Business
Male,Statistics
Female,Business
Female,Business
Male,Business
Female,Business
Female,Business
Female,Business
Female,Statistics
Male,Statistics
Female,Statistics
Female,Statistics
Female,Statistics
Male,Business
Female,Statistics
Female,Statistics
Female,Statistics
Male,Business
Female,Programming
Female,Business
Female,Statistics
Female,Business
Female,Programming
Male,Programming
Female,Business
Female,Programming
Female,Statistics
Male,Statistics
Female,Statistics
Female,Statistics
Male,Statistics
Male,Statistics
Female,Statistics
Female,Programming
Male,Statistics
Male,Business
Female,Business
Female,Programming
Female,Statistics
Female,Business
Female,Programming
Female,Programming
Female,Statistics
Male,Statistics
Female,Business
Male,Business
Female,Statistics
Female,Business
Male,Business
Male,Statistics
Male,Business
Male,Business
Male,Statistics
Male,Business
Male,Programming
Female,Programming
Male,Statistics
Male,Business
Female,Statistics
Female,Business
Female,Business
Female,Business
Male,Business
Male,Business
Male,Programming
Male,Business
Female,Statistics
Female,Statistics
Male,Statistics
Male,Statistics
Female,Programming
Male,Business
Female,Statistics
Male,Business
Male,Business
Male,Business
Male,Business
Female,Statistics
Male,Statistics
Male,Business
Male,Business
Male,Statistics
Female,Business
Female,Business
Male,Programming
Male,Business
Male,Programming
Female,Business
Female,Business
Female,Statistics
Female,Business
Male,Business
Female,Statistics
Female,Statistics
Male,Business
Female,Business
Female,Statistics
Male,Programming
